#"+ EIC(78.0) Scan tube3HHW.D "
#Point,X(Minutes),Y(Counts)
2894,27.191,34888
2895,27.200,34648
2896,27.209,35960
2897,27.219,34584
2898,27.228,36600
2899,27.237,36672
2900,27.246,38488
2901,27.255,38064
2902,27.265,38984
2903,27.274,38976
2904,27.283,37200
2905,27.292,37840
2906,27.301,38280
2907,27.311,38128
2908,27.320,37696
2909,27.329,37960
2910,27.338,36392
2911,27.347,35992
2912,27.357,36880
2913,27.366,36208
2914,27.375,36072
2915,27.384,36352
2916,27.393,35336
2917,27.402,34008
2918,27.412,34200
2919,27.421,34712
2920,27.430,34680
2921,27.439,33664
2922,27.448,33984
2923,27.458,34968
2924,27.467,34480
2925,27.476,35216
2926,27.485,35552
2927,27.494,35520
2928,27.504,36368
2929,27.513,36984
2930,27.522,38432
2931,27.531,38264
2932,27.540,36848
2933,27.550,37232
2934,27.559,35712
2935,27.568,35600
2936,27.577,36600
2937,27.586,36688
2938,27.595,38416
2939,27.605,41744
2940,27.614,45944
2941,27.623,51496
2942,27.632,54816
2943,27.641,56904
2944,27.651,57816
2945,27.660,55720
2946,27.669,52216
2947,27.678,49848
2948,27.687,48752
2949,27.697,43992
2950,27.706,42208
2951,27.715,41696
2952,27.724,41056
2953,27.733,40288
2954,27.742,40536
2955,27.752,40104
2956,27.761,38296
2957,27.770,39936
2958,27.779,37624
2959,27.788,37216
2960,27.798,37416
2961,27.807,37160
2962,27.816,37192
2963,27.825,36848
2964,27.834,37464
2965,27.844,37512
2966,27.853,37472
2967,27.862,37152
2968,27.871,36752
2969,27.880,36256
2970,27.890,35136
2971,27.899,35056
2972,27.908,34504
2973,27.917,35328
2974,27.926,35424
2975,27.935,34864
2976,27.945,34480
2977,27.954,35496
2978,27.963,35128
2979,27.972,35440
2980,27.981,36328
2981,27.991,36416
